setting,language,domain,agent_critical_error,agent_minor_error,agent_correct,user_critical_error,user_minor_error,user_correct,agent_hallucination,agent_incorrect_interpretation,agent_guideline_violation,agent_revealed_info_early,agent_inconsistent_behavior,agent_tool_call_schema_error,agent_tool_call_argument_error,agent_irrelevant_tool_call,agent_premature_termination,agent_missed_required_action,agent_wrong_sequence,agent_interruption_error,agent_other,user_hallucination,user_incorrect_interpretation,user_guideline_violation,user_revealed_info_early,user_inconsistent_behavior,user_tool_call_schema_error,user_tool_call_argument_error,user_irrelevant_tool_call,user_premature_termination,user_missed_required_action,user_wrong_sequence,user_interruption_error,user_other
L2 Domain,Indonesian,Airline,92,24,34,42,39,69,crit:3 / min:5,crit:43 / min:25,crit:115 / min:18,crit:3 / min:1,crit:6 / min:8,crit:0 / min:1,crit:7 / min:8,crit:1 / min:0,crit:28 / min:0,crit:96 / min:25,crit:13 / min:5,crit:0 / min:0,crit:0 / min:1,crit:24 / min:13,crit:3 / min:6,crit:20 / min:13,crit:0 / min:0,crit:15 / min:27,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:9 / min:11,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:0 / min:1
L2 Domain,Thai,Airline,97,17,36,55,30,65,crit:14 / min:10,crit:71 / min:35,crit:130 / min:28,crit:0 / min:2,crit:9 / min:10,crit:0 / min:0,crit:5 / min:3,crit:1 / min:4,crit:25 / min:2,crit:86 / min:16,crit:7 / min:3,crit:0 / min:0,crit:1 / min:0,crit:48 / min:13,crit:3 / min:2,crit:29 / min:14,crit:0 / min:0,crit:26 / min:30,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:10 / min:8,crit:0 / min:1,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0
L2 Domain,Filipino,Airline,101,17,32,50,47,53,crit:6 / min:7,crit:58 / min:30,crit:114 / min:24,crit:0 / min:0,crit:6 / min:5,crit:0 / min:0,crit:6 / min:2,crit:0 / min:1,crit:30 / min:1,crit:110 / min:23,crit:11 / min:5,crit:0 / min:0,crit:0 / min:4,crit:29 / min:21,crit:5 / min:8,crit:21 / min:24,crit:0 / min:1,crit:19 / min:39,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:11 / min:16,crit:3 / min:3,crit:0 / min:0,crit:0 / min:0,crit:2 / min:1
L2 Domain,Vietnamese,Airline,83,27,40,43,41,66,crit:8 / min:2,crit:54 / min:37,crit:90 / min:36,crit:1 / min:2,crit:6 / min:13,crit:1 / min:1,crit:5 / min:3,crit:2 / min:0,crit:21 / min:9,crit:77 / min:15,crit:8 / min:3,crit:0 / min:0,crit:1 / min:0,crit:35 / min:22,crit:3 / min:8,crit:16 / min:20,crit:0 / min:3,crit:16 / min:23,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:8 / min:14,crit:2 / min:3,crit:0 / min:0,crit:0 / min:0,crit:0 / min:2
L2 Domain,Chinese,Airline,103,15,32,40,48,62,crit:7 / min:8,crit:47 / min:32,crit:108 / min:21,crit:1 / min:2,crit:7 / min:10,crit:0 / min:1,crit:6 / min:4,crit:0 / min:1,crit:27 / min:2,crit:94 / min:19,crit:12 / min:2,crit:0 / min:0,crit:0 / min:1,crit:33 / min:18,crit:0 / min:13,crit:18 / min:19,crit:0 / min:3,crit:18 / min:37,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:9 / min:12,crit:0 / min:0,crit:0 / min:1,crit:0 / min:0,crit:0 / min:0
L2 Domain,Thai,Retail,180,60,102,127,91,124,crit:30 / min:10,crit:142 / min:62,crit:128 / min:54,crit:2 / min:3,crit:29 / min:25,crit:3 / min:9,crit:48 / min:39,crit:11 / min:1,crit:28 / min:4,crit:160 / min:62,crit:24 / min:8,crit:0 / min:0,crit:1 / min:5,crit:111 / min:74,crit:11 / min:16,crit:29 / min:23,crit:3 / min:2,crit:39 / min:86,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:28 / min:24,crit:3 / min:2,crit:0 / min:0,crit:0 / min:0,crit:0 / min:3
L2 Domain,Filipino,Retail,131,74,137,123,118,101,crit:14 / min:13,crit:50 / min:55,crit:92 / min:59,crit:2 / min:2,crit:22 / min:22,crit:2 / min:4,crit:37 / min:34,crit:1 / min:1,crit:7 / min:3,crit:101 / min:81,crit:13 / min:12,crit:0 / min:0,crit:2 / min:1,crit:115 / min:106,crit:13 / min:15,crit:23 / min:33,crit:0 / min:2,crit:51 / min:111,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:22 / min:16,crit:3 / min:2,crit:0 / min:0,crit:0 / min:0,crit:0 / min:4
L2 Domain,Vietnamese,Retail,112,93,137,90,122,130,crit:18 / min:17,crit:48 / min:88,crit:73 / min:76,crit:1 / min:3,crit:13 / min:27,crit:6 / min:1,crit:35 / min:49,crit:0 / min:1,crit:12 / min:4,crit:73 / min:66,crit:14 / min:11,crit:0 / min:0,crit:0 / min:3,crit:75 / min:76,crit:5 / min:20,crit:25 / min:31,crit:0 / min:1,crit:39 / min:94,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:8 / min:18,crit:2 / min:0,crit:0 / min:0,crit:0 / min:0,crit:0 / min:4
L2 Domain,Chinese,Retail,131,84,127,101,113,128,crit:9 / min:18,crit:63 / min:63,crit:112 / min:93,crit:0 / min:3,crit:24 / min:27,crit:6 / min:5,crit:48 / min:25,crit:1 / min:5,crit:14 / min:1,crit:98 / min:83,crit:12 / min:15,crit:0 / min:0,crit:1 / min:5,crit:119 / min:110,crit:5 / min:17,crit:33 / min:31,crit:0 / min:1,crit:26 / min:84,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:11 / min:12,crit:2 / min:3,crit:0 / min:0,crit:0 / min:0,crit:1 / min:3
L2 Domain,Indonesian,Retail,124,76,142,93,122,127,crit:18 / min:17,crit:50 / min:56,crit:92 / min:53,crit:2 / min:3,crit:12 / min:22,crit:5 / min:9,crit:39 / min:28,crit:1 / min:4,crit:15 / min:4,crit:75 / min:65,crit:19 / min:21,crit:0 / min:0,crit:1 / min:2,crit:76 / min:105,crit:7 / min:12,crit:29 / min:32,crit:0 / min:0,crit:34 / min:102,crit:0 / min:0,crit:0 / min:0,crit:0 / min:0,crit:16 / min:19,crit:2 / min:5,crit:0 / min:0,crit:0 / min:0,crit:0 / min:4
L2 Domain,Thai,Telecom,133,85,124,64,105,173,crit:5 / min:11,crit:54 / min:95,crit:106 / min:97,crit:1 / min:4,crit:9 / min:47,crit:0 / min:0,crit:2 / min:7,crit:2 / min:11,crit:39 / min:2,crit:166 / min:136,crit:16 / min:12,crit:0 / min:0,crit:1 / min:9,crit:49 / min:56,crit:7 / min:34,crit:17 / min:46,crit:1 / min:1,crit:16 / min:151,crit:0 / min:1,crit:0 / min:2,crit:0 / min:0,crit:17 / min:12,crit:2 / min:12,crit:1 / min:1,crit:0 / min:0,crit:0 / min:33
L2 Domain,Filipino,Telecom,131,89,122,64,130,148,crit:3 / min:11,crit:54 / min:85,crit:106 / min:115,crit:2 / min:2,crit:12 / min:38,crit:5 / min:4,crit:3 / min:11,crit:3 / min:15,crit:33 / min:5,crit:163 / min:111,crit:13 / min:27,crit:0 / min:0,crit:1 / min:2,crit:52 / min:47,crit:7 / min:42,crit:22 / min:85,crit:0 / min:1,crit:20 / min:142,crit:0 / min:2,crit:0 / min:2,crit:0 / min:3,crit:11 / min:31,crit:2 / min:9,crit:0 / min:1,crit:0 / min:0,crit:0 / min:27
L2 Domain,Vietnamese,Telecom,125,71,146,54,112,176,crit:7 / min:16,crit:50 / min:69,crit:117 / min:104,crit:3 / min:4,crit:10 / min:37,crit:2 / min:1,crit:2 / min:7,crit:3 / min:19,crit:30 / min:3,crit:151 / min:96,crit:17 / min:13,crit:0 / min:0,crit:0 / min:15,crit:39 / min:48,crit:3 / min:30,crit:13 / min:42,crit:1 / min:0,crit:18 / min:146,crit:0 / min:0,crit:0 / min:5,crit:0 / min:1,crit:11 / min:23,crit:6 / min:8,crit:0 / min:2,crit:0 / min:0,crit:1 / min:11
L2 Domain,Chinese,Telecom,103,86,153,45,128,169,crit:5 / min:9,crit:29 / min:71,crit:78 / min:81,crit:0 / min:0,crit:8 / min:31,crit:0 / min:0,crit:2 / min:5,crit:0 / min:4,crit:27 / min:3,crit:111 / min:119,crit:12 / min:19,crit:0 / min:0,crit:0 / min:7,crit:37 / min:61,crit:6 / min:28,crit:23 / min:85,crit:0 / min:2,crit:10 / min:115,crit:1 / min:1,crit:0 / min:3,crit:0 / min:3,crit:9 / min:18,crit:3 / min:14,crit:0 / min:1,crit:0 / min:0,crit:1 / min:8
L2 Domain,Indonesian,Telecom,139,81,122,59,120,163,crit:5 / min:19,crit:53 / min:77,crit:98 / min:91,crit:0 / min:5,crit:8 / min:44,crit:1 / min:3,crit:2 / min:3,crit:1 / min:8,crit:33 / min:3,crit:178 / min:108,crit:23 / min:21,crit:0 / min:0,crit:1 / min:7,crit:57 / min:54,crit:8 / min:25,crit:11 / min:59,crit:1 / min:2,crit:20 / min:140,crit:0 / min:22,crit:0 / min:1,crit:0 / min:1,crit:14 / min:29,crit:1 / min:9,crit:0 / min:1,crit:0 / min:0,crit:0 / min:20
